;Wiktionary Page Link
0;https://en.wiktionary.org/wiki/Category:Turkish_nouns
1;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=AG%EF%80%80AC%EF%80%80KAKAN%0Aa%C4%9Fa%C3%A7kakan#mw-pages
2;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=ALTMH%EF%80%80S%EF%80%80+ALTH%EF%80%80%0Aaltm%C4%B1%C5%9F+alt%C4%B1#mw-pages
3;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=ARA%0Aara#mw-pages
4;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=AY+TUTULMASH%EF%80%80%0AAy+tutulmas%C4%B1#mw-pages
5;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=BAS%EF%80%80%0Aba%C5%9F#mw-pages
6;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=BILINEMEZCILIK%0Abilinemezcilik#mw-pages
7;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=BU%EF%80%80TU%EF%80%80N%0Ab%C3%BCt%C3%BCn#mw-pages
8;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=C%EF%80%80AR%0A%C3%A7ar#mw-pages
9;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=C%EF%80%80O%EF%80%80P+ADAM%0A%C3%A7%C3%B6p+adam#mw-pages
10;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=DEPOLITIZASYON%0Adepolitizasyon#mw-pages
11;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=DOK%0Adok#mw-pages
12;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=EGZOTIZM%0Aegzotizm#mw-pages
13;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=ERKEK+ISMI%0Aerkek+ismi#mw-pages
14;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=FH%EF%80%80RKA%0Af%C4%B1rka#mw-pages
15;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=GENOFOBI%0Agenofobi#mw-pages
16;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=GU%EF%80%80RU%EF%80%80LTU%EF%80%80%0Ag%C3%BCr%C3%BClt%C3%BC#mw-pages
17;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=HEKTAR%0Ahektar#mw-pages
18;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=IC%EF%80%80+SAVAS%EF%80%80%0Ai%C3%A7+sava%C5%9F#mw-pages
19;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=INTEGRAL%0Aintegral#mw-pages
20;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=KABALH%EF%80%80K%0Akabal%C4%B1k#mw-pages
21;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=KARA+TAHTA%0Akara+tahta#mw-pages
22;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=KEBAP%0Akebap#mw-pages
23;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=KITAP%0Akitap#mw-pages
24;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=KOS%EF%80%80UCU%0Ako%C5%9Fucu#mw-pages
25;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=KUZEY%0Akuzey#mw-pages
26;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=LU%EF%80%80TUF%0Al%C3%BCtuf#mw-pages
27;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=MEGAVAT%0Amegavat#mw-pages
28;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=MOLIBDEN%0Amolibden#mw-pages
29;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=NAAS%EF%80%80%0Anaa%C5%9F#mw-pages
30;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=OLUMSUZLUK%0Aolumsuzluk#mw-pages
31;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=O%EF%80%80Z+C%EF%80%80H%EF%80%80KAR%0A%C3%B6z+%C3%A7%C4%B1kar#mw-pages
32;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=PERDE%0Aperde#mw-pages
33;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=PURO%0Apuro#mw-pages
34;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=SABUNLUK%0Asabunluk#mw-pages
35;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=SEKSIYON%0Aseksiyon#mw-pages
36;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=SLAYT%0Aslayt#mw-pages
37;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=SU%EF%80%80NME%0As%C3%BCnme#mw-pages
38;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=S%EF%80%80UBAT%0A%C5%9Fubat#mw-pages
39;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=TAVAN%0Atavan#mw-pages
40;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=TESTOSTERON%0Atestosteron#mw-pages
41;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=TU%EF%80%80FEK%0At%C3%BCfek#mw-pages
42;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=VAMPIR%0Avampir#mw-pages
43;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=YAPTH%EF%80%80RH%EF%80%80M%0Ayapt%C4%B1r%C4%B1m#mw-pages
44;https://en.wiktionary.org/w/index.php?title=Category:Turkish_nouns&pagefrom=YORUM%0Ayorum#mw-pages
